,QuoteId,MinPrice,Direct,OutboundLeg,InboundLeg,QuoteDateTime,OutCarrier,OutOrigin,OutDest,OutDate,InCarrier,InOrigin,InDest,InDate,tripLength
0,1,199,False,"{'CarrierIds': [1090], 'OriginId': 40920, 'DestinationId': 46982, 'DepartureDate': '2021-06-28T00:00:00'}","{'CarrierIds': [50441], 'OriginId': 46982, 'DestinationId': 40920, 'DepartureDate': '2021-07-01T00:00:00'}",2021-04-29T00:42:00,Ryanair,Athens International,Dubrovnik,2021-06-28,easyJet,Dubrovnik,Athens International,2021-07-01,3
1,1,158,False,"{'CarrierIds': [1090], 'OriginId': 40920, 'DestinationId': 97607, 'DepartureDate': '2021-07-01T00:00:00'}","{'CarrierIds': [1090], 'OriginId': 97607, 'DestinationId': 40920, 'DepartureDate': '2021-07-04T00:00:00'}",2021-04-30T11:51:00,Ryanair,Athens International,Zagreb,2021-07-01,Ryanair,Zagreb,Athens International,2021-07-04,3
2,1,104,False,"{'CarrierIds': [1881], 'OriginId': 40920, 'DestinationId': 46982, 'DepartureDate': '2021-07-03T00:00:00'}","{'CarrierIds': [1831], 'OriginId': 46982, 'DestinationId': 40920, 'DepartureDate': '2021-07-06T00:00:00'}",2021-05-02T13:52:00,Wizz Air UK,Athens International,Dubrovnik,2021-07-03,Volotea,Dubrovnik,Athens International,2021-07-06,3
3,2,174,True,"{'CarrierIds': [819], 'OriginId': 40920, 'DestinationId': 46982, 'DepartureDate': '2021-07-03T00:00:00'}","{'CarrierIds': [1831], 'OriginId': 46982, 'DestinationId': 40920, 'DepartureDate': '2021-07-06T00:00:00'}",2021-05-02T13:52:00,Aegean Airlines,Athens International,Dubrovnik,2021-07-03,Volotea,Dubrovnik,Athens International,2021-07-06,3
4,1,142,False,"{'CarrierIds': [1831], 'OriginId': 40920, 'DestinationId': 46982, 'DepartureDate': '2021-07-04T00:00:00'}","{'CarrierIds': [1831], 'OriginId': 46982, 'DestinationId': 40920, 'DepartureDate': '2021-07-07T00:00:00'}",2021-05-01T16:55:00,Volotea,Athens International,Dubrovnik,2021-07-04,Volotea,Dubrovnik,Athens International,2021-07-07,3
5,2,157,False,"{'CarrierIds': [1090], 'OriginId': 40920, 'DestinationId': 82213, 'DepartureDate': '2021-07-04T00:00:00'}","{'CarrierIds': [1865], 'OriginId': 82213, 'DestinationId': 40920, 'DepartureDate': '2021-07-07T00:00:00'}",2021-04-30T14:15:00,Ryanair,Athens International,Split,2021-07-04,Vueling Airlines,Split,Athens International,2021-07-07,3
6,3,175,False,"{'CarrierIds': [1090], 'OriginId': 40920, 'DestinationId': 97607, 'DepartureDate': '2021-07-04T00:00:00'}","{'CarrierIds': [1525], 'OriginId': 97607, 'DestinationId': 40920, 'DepartureDate': '2021-07-07T00:00:00'}",2021-04-30T08:04:00,Ryanair,Athens International,Zagreb,2021-07-04,Croatia Airlines,Zagreb,Athens International,2021-07-07,3
7,4,244,False,"{'CarrierIds': [1090], 'OriginId': 81959, 'DestinationId': 75545, 'DepartureDate': '2021-07-04T00:00:00'}","{'CarrierIds': [1090], 'OriginId': 75545, 'DestinationId': 81959, 'DepartureDate': '2021-07-07T00:00:00'}",2021-04-30T08:05:00,Ryanair,Thessaloniki,Pula,2021-07-04,Ryanair,Pula,Thessaloniki,2021-07-07,3
8,1,236,False,"{'CarrierIds': [819], 'OriginId': 44869, 'DestinationId': 82213, 'DepartureDate': '2021-06-28T00:00:00'}","{'CarrierIds': [50441], 'OriginId': 82213, 'DestinationId': 44869, 'DepartureDate': '2021-07-02T00:00:00'}",2021-05-01T15:25:00,Aegean Airlines,Corfu,Split,2021-06-28,easyJet,Split,Corfu,2021-07-02,4
9,1,186,False,"{'CarrierIds': [1090], 'OriginId': 40920, 'DestinationId': 97607, 'DepartureDate': '2021-07-03T00:00:00'}","{'CarrierIds': [1525], 'OriginId': 97607, 'DestinationId': 40920, 'DepartureDate': '2021-07-07T00:00:00'}",2021-05-02T18:26:00,Ryanair,Athens International,Zagreb,2021-07-03,Croatia Airlines,Zagreb,Athens International,2021-07-07,4
